YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,5,5
1971,10,9
1972,12,11
1973,9,8
1974,9,8
1975,16,15
1976,8,7
1977,0,0
1978,5,5
1979,6,6
1980,8,8
1981,5,5
1982,7,7
1983,0,0
1984,0,0
1985,11,11
1986,0,0
1987,8,8
1988,9,9
1989,7,7
1990,6,6
1991,10,10
1992,12,12
1993,10,10
1994,15,15
1995,8,8
1996,10,10
1997,7,7
1998,9,9
1999,0,0
2000,5,5
2001,9,9
2002,11,11
2003,7,7
2004,14,14
2005,11,11
2006,14,14
2007,10,10
2008,10,10
2009,20,20
2010,8,8
2011,13,13
2012,11,11
2013,6,6
2014,13,13
2015,10,10
2016,5,5
2017,0,0
