YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,6,0
1915,0,0
1916,7,0
1917,5,0
1918,0,0
1919,0,0
1920,5,0
1921,5,0
1922,5,0
1923,7,0
1924,0,0
1925,0,0
1926,5,0
1927,5,1
1928,6,1
1929,7,1
1930,11,2
1931,9,2
1932,7,2
1933,0,0
1934,5,1
1935,0,0
1936,6,2
1937,8,3
1938,11,5
1939,9,4
1940,0,0
1941,7,3
1942,11,6
1943,13,7
1944,7,4
1945,9,5
1946,7,4
1947,0,0
1948,5,3
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,5,4
1956,7,6
1957,5,4
1958,0,0
1959,10,8
1960,0,0
1961,8,7
1962,0,0
1963,0,0
1964,6,5
1965,5,4
1966,0,0
1967,8,7
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,5,5
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
