YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,5,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,5,0
1914,0,0
1915,5,0
1916,5,0
1917,0,0
1918,0,0
1919,6,0
1920,0,0
1921,6,0
1922,5,0
1923,6,1
1924,0,0
1925,0,0
1926,6,1
1927,5,1
1928,0,0
1929,7,1
1930,0,0
1931,0,0
1932,6,2
1933,6,2
1934,0,0
1935,0,0
1936,6,3
1937,7,3
1938,0,0
1939,0,0
1940,0,0
1941,8,5
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,7,6
