YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,5,5
1978,5,5
1979,8,8
1980,11,10
1981,7,7
1982,19,18
1983,17,16
1984,13,12
1985,15,14
1986,13,12
1987,14,13
1988,12,12
1989,15,15
1990,15,15
1991,17,17
1992,15,15
1993,17,17
1994,9,9
1995,11,11
1996,15,15
1997,9,9
1998,15,15
1999,16,16
2000,12,12
2001,9,9
2002,7,7
2003,10,10
2004,6,6
2005,0,0
2006,7,7
2007,10,10
2008,6,6
2009,7,7
2010,7,7
2011,5,5
2012,9,9
2013,11,11
2014,0,0
2015,11,11
2016,6,6
2017,0,0
2018,0,0
2019,0,0
2020,5,5
