YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,5,0
1905,0,0
1906,0,0
1907,0,0
1908,5,0
1909,5,0
1910,5,0
1911,0,0
1912,6,0
1913,5,0
1914,11,0
1915,16,0
1916,19,0
1917,21,0
1918,16,0
1919,17,0
1920,22,0
1921,14,0
1922,9,0
1923,20,1
1924,19,1
1925,13,1
1926,12,1
1927,18,1
1928,8,1
1929,13,1
1930,12,1
1931,9,1
1932,13,2
1933,6,1
1934,17,4
1935,15,4
1936,10,3
1937,16,5
1938,10,3
1939,6,2
1940,14,6
1941,6,3
1942,7,3
1943,9,4
1944,11,6
1945,6,3
1946,10,6
1947,8,5
1948,6,4
1949,0,0
1950,0,0
1951,0,0
1952,6,4
1953,7,5
1954,6,4
1955,8,6
1956,0,0
1957,0,0
1958,0,0
1959,7,6
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
