YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,6,0
1913,6,0
1914,5,0
1915,7,0
1916,0,0
1917,0,0
1918,0,0
1919,12,0
1920,7,0
1921,5,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,7,1
1927,10,2
1928,0,0
1929,0,0
1930,0,0
1931,5,1
1932,0,0
1933,6,2
1934,6,2
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,7,4
1942,6,4
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,5,3
1948,0,0
1949,0,0
1950,0,0
1951,8,6
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,5,4
