YOB,Born,Alive
1900,5,0
1901,5,0
1902,11,0
1903,6,0
1904,6,0
1905,6,0
1906,6,0
1907,0,0
1908,9,0
1909,10,0
1910,8,0
1911,5,0
1912,0,0
1913,10,0
1914,0,0
1915,11,0
1916,9,0
1917,13,0
1918,11,0
1919,14,0
1920,18,0
1921,14,0
1922,16,0
1923,12,0
1924,11,0
1925,15,1
1926,18,1
1927,10,1
1928,15,1
1929,16,1
1930,6,1
1931,20,2
1932,10,2
1933,12,2
1934,6,1
1935,0,0
1936,9,2
1937,7,2
1938,8,3
1939,11,4
1940,10,4
1941,6,3
1942,0,0
1943,0,0
1944,5,3
1945,6,3
1946,5,3
1947,0,0
1948,6,4
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,0,0
1989,0,0
1990,0,0
1991,0,0
1992,0,0
1993,0,0
1994,0,0
1995,0,0
1996,0,0
1997,0,0
1998,0,0
1999,0,0
2000,0,0
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
