YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,5,5
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,5,5
1974,10,10
1975,0,0
1976,5,5
1977,7,7
1978,7,7
1979,10,10
1980,7,7
1981,8,8
1982,7,7
1983,9,9
1984,0,0
1985,6,6
1986,18,18
1987,12,12
1988,16,16
1989,13,13
1990,28,28
1991,12,12
1992,20,20
1993,10,10
1994,14,14
1995,14,14
1996,9,9
1997,9,9
1998,0,0
1999,0,0
2000,6,6
2001,10,10
2002,0,0
2003,0,0
2004,0,0
2005,6,6
2006,5,5
2007,5,5
