YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,43,40
1974,84,78
1975,26,24
1976,18,17
1977,18,17
1978,24,23
1979,14,13
1980,6,6
1981,0,0
1982,9,9
1983,0,0
1984,5,5
1985,0,0
1986,0,0
1987,5,5
1988,5,5
1989,5,5
1990,0,0
1991,7,7
1992,5,5
1993,9,9
1994,0,0
1995,9,9
1996,9,9
1997,8,8
1998,5,5
1999,8,8
2000,14,14
2001,8,8
2002,11,11
2003,8,8
2004,6,6
2005,11,11
2006,8,8
2007,0,0
2008,9,9
2009,11,11
2010,12,12
2011,17,17
2012,7,7
2013,11,11
2014,14,14
2015,16,16
2016,11,11
2017,15,15
