YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,5,4
1956,0,0
1957,0,0
1958,5,4
1959,6,5
1960,0,0
1961,13,12
1962,9,8
1963,7,6
1964,10,9
1965,7,6
1966,0,0
1967,7,6
1968,8,7
1969,6,6
1970,12,11
1971,16,15
1972,11,10
1973,18,17
1974,19,18
1975,17,16
1976,14,13
1977,15,14
1978,7,7
1979,10,10
1980,15,15
1981,16,16
1982,13,13
1983,22,21
1984,8,8
1985,13,13
1986,8,8
1987,19,19
1988,8,8
1989,9,9
1990,17,17
1991,18,18
1992,11,11
1993,11,11
1994,7,7
1995,0,0
1996,0,0
1997,5,5
1998,0,0
1999,5,5
2000,8,8
2001,0,0
2002,0,0
2003,0,0
2004,0,0
2005,0,0
2006,0,0
2007,0,0
2008,0,0
2009,0,0
2010,0,0
2011,0,0
2012,0,0
2013,0,0
2014,0,0
2015,0,0
2016,0,0
2017,0,0
2018,0,0
2019,0,0
2020,0,0
