YOB,Born,Alive
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,6,5
1960,5,5
1961,5,5
1962,11,10
1963,9,8
1964,11,10
1965,5,5
1966,9,8
1967,8,8
1968,15,14
1969,18,17
1970,27,26
1971,20,19
1972,15,14
1973,13,12
1974,8,8
1975,10,10
1976,12,12
1977,16,15
1978,8,8
1979,10,10
1980,9,9
1981,5,5
1982,7,7
1983,0,0
1984,0,0
1985,0,0
1986,6,6
1987,5,5
1988,5,5
1989,5,5
1990,5,5
1991,8,8
